City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,san patricio,28.017,-97.5169,26.58,80,100,7.32,US,1683518284
130,aydincik,36.1437,33.3202,18.66,71,28,1.16,TR,1683518285
131,juneau,58.3019,-134.4197,11.0,86,100,4.12,US,1683518285
132,manokwari,-0.8667,134.0833,28.73,76,99,3.77,ID,1683518286
133,fort bragg,35.139,-79.006,22.75,73,0,5.14,US,1683518286
134,kuanda,56.3161,116.0806,7.37,35,99,3.67,RU,1683518287
135,gwadar,25.1216,62.3254,29.36,62,0,6.5,PK,1683518287
136,naze,28.3667,129.4833,21.51,71,98,8.43,JP,1683518287
137,rio grande,-32.035,-52.0986,16.58,90,100,6.02,BR,1683518288
138,tyukhtet,56.5389,89.3011,22.34,29,77,3.05,RU,1683518288
139,miranda,3.2499,-76.2281,24.07,77,62,2.31,CO,1683518289
140,cole harbour,44.6724,-63.4751,9.54,83,78,5.14,CA,1683518289
141,stanley,54.868,-1.6985,10.71,89,0,2.06,GB,1683518223
142,singkil,-7.9855,111.4161,30.23,59,85,1.55,ID,1683518290
143,atafu village,-8.5421,-172.5159,29.21,76,7,4.23,TK,1683518290
144,san jose del guaviare,2.5729,-72.6459,23.82,89,87,0.91,CO,1683518291
145,tangalle,6.024,80.7911,29.09,74,100,4.94,LK,1683518291
146,lihue,21.9789,-159.3672,26.58,69,75,7.72,US,1683518292
147,luanda,-8.8368,13.2343,26.0,89,40,1.03,AO,1683518292
148,skarszewy,54.0691,18.4442,5.9,79,12,0.97,PL,1683517892
149,rabo de peixe,37.8,-25.5833,17.73,94,75,5.66,PT,1683518293
150,oak grove,45.4168,-122.6401,14.07,64,94,0.89,US,1683518294
151,prince george,53.9166,-122.753,10.69,91,75,0.89,CA,1683518250
152,tura,25.5198,90.2201,33.15,30,0,2.63,IN,1683518295
153,eatonton,33.3268,-83.3885,20.22,84,68,2.8,US,1683518295
154,longyearbyen,78.2186,15.6401,-2.09,86,75,1.54,SJ,1683518146
155,miri,4.4148,114.0089,31.08,70,40,3.09,MY,1683518296
156,dudinka,69.4058,86.1778,-6.32,80,100,6.73,RU,1683518296
157,myaydo,19.3667,95.2167,38.81,32,5,3.8,MM,1683518297
158,sitka,57.0531,-135.33,8.94,61,75,4.12,US,1683518297
159,remire-montjoly,4.9167,-52.2667,25.02,94,20,0.0,GF,1683518298
